ID,Category,Name,Floor,Building,X,Y,Description

3010101,ENTRANCE,입구 1,1,사범대학,352,312,...
3010102,HALLWAY,...,1,사범대학,305,251,...
3010103,HALLWAY,...,1,사범대학,416,251,...
3010104,STAIRS,...,1,사범대학,508,333,...
3010105,HALLWAY,...,1,사범대학,547,251,...
3010106,HALLWAY,...,1,사범대학,650,251,...
3010107,STAIRS,...,1,사범대학,667,216,...
3010108,HALLWAY,...,1,사범대학,746,251,...
3010109,HALLWAY,...,1,사범대학,813,251,...
3010110,ENTRANCE,입구 2,1,사범대학,891,251,...
3010111,HALLWAY,...,1,사범대학,891,302,...
3010112,HALLWAY,...,1,사범대학,946,302,...
3010113,ENTRANCE,입구 3,1,사범대학,946,354,...
3010114,STAIRS,...,1,사범대학,869,371,...

3010115,CLASSROOM,세미나실,1,사범대학,352,168,...
3010116,CLASSROOM,사범대학 역사관,1,사범대학,482,168,...
3010117,CLASSROOM,수업준비실,1,사범대학,581,168,...
3010118,CLASSROOM,휴게실,1,사범대학,880,174,...
3010119,CLASSROOM,관리실,1,사범대학,920,302,...
3010120,CLASSROOM,106호,1,사범대학,878,460,...
3010121,RESTROOM,남자화장실,1,사범대학,757,292,...
3010122,RESTROOM,여자화장실,1,사범대학,803,292,...

3010201,HALLWAY,...,2,사범대학,227,201,...
3010202,HALLWAY,...,2,사범대학,270,201,...
3010203,HALLWAY,...,2,사범대학,370,201,...
3010204,HALLWAY,...,2,사범대학,432,201,...
3010205,STAIRS,...,2,사범대학,508,201,...
3010206,STAIRS,...,2,사범대학,544,275,...
3010207,HALLWAY,...,2,사범대학,559,353,...
3010208,HALLWAY,...,2,사범대학,593,299,...
3010209,HALLWAY,...,2,사범대학,650,209,...
3010210,HALLWAY,...,2,사범대학,741,209,...
3010211,HALLWAY,...,2,사범대학,786,209,...
3010212,HALLWAY,...,2,사범대학,880,209,...
3010213,HALLWAY,...,2,사범대학,969,209,...
3010214,HALLWAY,...,2,사범대학,1036,209,...
3010215,HALLWAY,...,2,사범대학,1081,209,...
3010216,HALLWAY,...,2,사범대학,1141,209,...
3010217,HALLWAY,...,2,사범대학,1200,209,...
3010218,STAIRS,...,2,사범대학,1213,152,...
3010219,HALLWAY,...,2,사범대학,1193,250,...
3010220,STAIRS,...,2,사범대학,1288,250,...
3010221,HALLWAY,...,2,사범대학,1185,299,...
3010222,HALLWAY,...,2,사범대학,1035,299,...
3010223,HALLWAY,...,2,사범대학,880,299,...
3010224,HALLWAY,...,2,사범대학,777,299,...

3010225,CLASSROOM,교수연구실 2,2,사범대학,204,276,...
3010226,CLASSROOM,국어교육과 학생회,2,사범대학,204,130,...
3010227,CLASSROOM,교수연구실 1,2,사범대학,272,276,...
3010228,CLASSROOM,사범대학 학생회 1,2,사범대학,103,130,...
3010229,CLASSROOM,사범대학 학생회 2,2,사범대학,388,130,...
3010230,CLASSROOM,영어교육과 학생회,2,사범대학,453,130,...
3010231,RESTROOM,남자화장실,2,사범대학,674,130,...
3010232,RESTROOM,여자화장실,2,사범대학,725,130,...
3010233,CLASSROOM,교육학과 학생회,2,사범대학,785,136,...
3010234,CLASSROOM,불어교육전공 학생회,2,사범대학,842,136,...
3010235,CLASSROOM,독어교육전공 학생회,2,사범대학,898,136,...
3010236,CLASSROOM,윤리교육과 학생회,2,사범대학,955,136,...
3010237,CLASSROOM,역사교육과 학생회,2,사범대학,1013,136,...
3010238,CLASSROOM,일반사회교육과 학생회,2,사범대학,1067,136,...
3010239,CLASSROOM,지리교육과 학생회,2,사범대학,1123,136,...
3010240,CLASSROOM,가정교육 학생회,2,사범대학,1177,136,...
3010241,CLASSROOM,스터디룸 1,2,사범대학,1102,255,...
3010242,CLASSROOM,스터디룸 2,2,사범대학,1025,255,...
3010243,CLASSROOM,스터디룸 3,2,사범대학,948,255,...
3010244,CLASSROOM,스터디룸 4,2,사범대학,845,255,...
3010245,CLASSROOM,스터디룸 5,2,사범대학,786,255,...
3010246,CLASSROOM,스터디룸 6,2,사범대학,730,255,...
3010247,CLASSROOM,스터디룸 7,2,사범대학,672,255,...
3010248,CLASSROOM,미래융합형 대형강의실 1,2,사범대학,1148,415,...
3010249,CLASSROOM,미래융합형 대형강의실 2,2,사범대학,930,415,...
3010250,CLASSROOM,미래융합형 대형강의실 3,2,사범대학,708,415,...

3010301,CLASSROOM,301호,3,사범대학,537,364,...
3010302,CLASSROOM,302호,3,사범대학,432,364,...
3010303,CLASSROOM,303호,3,사범대학,319,364,...
3010304,CLASSROOM,304호,3,사범대학,420,237,...
3010305,CLASSROOM,305호,3,사범대학,830,242,...
3010306,CLASSROOM,306호,3,사범대학,929,242,...
3010307,CLASSROOM,307호,3,사범대학,1026,242,...
3010308,CLASSROOM,308호,3,사범대학,1124,242,...
3010309,CLASSROOM,309호,3,사범대학,1088,356,...
3010310,CLASSROOM,310호,3,사범대학,903,356,...
3010311,CLASSROOM,311호,3,사범대학,789,356,...
3010312,CLASSROOM,312호,3,사범대학,697,356,...
3010313,CLASSROOM,313호,3,사범대학,588,533,...
3010314,CLASSROOM,313-1호,3,사범대학,647,533,...
3010315,CLASSROOM,314호,3,사범대학,710,533,...
3010316,CLASSROOM,315호,3,사범대학,818,533,...
3010317,CLASSROOM,316호,3,사범대학,942,533,...
3010318,CLASSROOM,317호,3,사범대학,1005,533,...
3010319,CLASSROOM,318호,3,사범대학,1100,533,...
3010320,RESTROOM,화장실,3,사범대학,733,225,...

3010321,HALLWAY,...,3,사범대학,396,301,...
3010322,HALLWAY,...,3,사범대학,484,301,...
3010323,STAIRS,...,3,사범대학,562,301,...
3010324,HALLWAY,...,3,사범대학,607,301,...
3010325,HALLWAY,...,3,사범대학,650,301,...
3010326,HALLWAY,...,3,사범대학,779,301,...
3010327,HALLWAY,...,3,사범대학,827,301,...
3010328,HALLWAY,...,3,사범대학,880,301,...
3010329,HALLWAY,...,3,사범대학,981,301,...
3010330,HALLWAY,...,3,사범대학,1075,301,...
3010331,HALLWAY,...,3,사범대학,1180,301,...
3010332,STAIRS,...,3,사범대학,1180,254,...
