FromID,ToID,Weight

3010101,3010102,77.01
3010101,3010103,88.41
3010101,3010104,157.41
3010102,3010103,111
3010103,3010104,123.24
3010103,3010105,131
3010104,3010105,90.8
3010105,3010106,103
3010106,3010107,38.91
3010106,3010108,96
3010108,3010109,67
3010109,3010110,78
3010110,3010111,51
3010111,3010112,55
3010112,3010113,52
3010113,3010114,78.85

3010115,3010102,0
3010115,3010103,0
3010116,3010103,0
3010116,3010105,0
3010117,3010105,0
3010118,3010109,0
3010119,3010111,0
3010119,3010112,0
3010120,3010114,0
3010121,3010108,0
3010122,3010109,0

3010201,3010202,43
3010202,3010203,100
3010203,3010204,62
3010204,3010205,76
3010205,3010206,82.29
3010206,3010207,79.43
3010207,3010208,63.81
3010206,3010208,54.56
3010205,3010209,142.23
3010208,3010209,106.53
3010209,3010210,91
3010210,3010211,45
3010211,3010212,94
3010212,3010213,89
3010213,3010214,67
3010214,3010215,45
3010215,3010216,60
3010216,3010217,59
3010217,3010218,58.46
3010217,3010219,41.59
3010219,3010220,95
3010219,3010221,49.65
3010221,3010222,150
3010222,3010223,155
3010212,3010223,90
3010223,3010224,103
3010208,3010224,184

3010225,3010201,0
3010226,3010201,0
3010227,3010202,0
3010228,3010202,0
3010229,3010203,0
3010230,3010204,0
3010231,3010209,0
3010232,3010210,0
3010233,3010211,0
3010234,3010212,0
3010235,3010212,0
3010236,3010213,0
3010237,3010214,0
3010238,3010215,0
3010239,3010216,0
3010240,3010217,0
3010241,3010215,0
3010242,3010214,0
3010243,3010213,0
3010244,3010212,0
3010245,3010211,0
3010246,3010210,0
3010247,3010209,0
3010248,3010221,0
3010248,3010222,0
3010249,3010222,0
3010249,3010223,0
3010250,3010208,0
3010250,3010224,0

3010301,3010322,0
3010301,3010323,0
3010302,3010321,0
3010302,3010322,0
3010303,3010321,0
3010304,3010321,0
3010305,3010326,0
3010305,3010328,0
3010306,3010328,0
3010306,3010329,0
3010307,3010329,0
3010307,3010330,0
3010308,3010330,0
3010308,3010331,0
3010309,3010329,0
3010309,3010331,0
3010310,3010327,0
3010310,3010329,0
3010311,3010326,0
3010312,3010325,0
3010312,3010326,0
3010313,3010340,0
3010314,3010340,0
3010315,3010339,0
3010316,3010337,0
3010316,3010338,0
3010317,3010336,0
3010318,3010336,0
3010319,3010334,0
3010319,3010335,0
3010320,3010326,0

3010321,3010322,88
3010322,3010323,78
3010323,3010324,45
3010324,3010325,43
3010325,3010326,129
3010326,3010327,48
3010327,3010328,53
3010328,3010329,101
3010329,3010330,94
3010330,3010331,105
3010331,3010332,47
3010331,3010333,132
3010333,3010334,44
3010334,3010335,139
3010335,3010336,52
3010336,3010337,101
3010337,3010338,97
3010338,3010339,68
3010339,3010340,116
3010340,3010341,44
3010324,3010341,132
3010341,3010342,184
3010338,3010342,44
3010333,3010343,191
3010336,3010343,44
3010342,3010343,198

3010401,3010412,0
3010401,3010414,0
3010402,3010412,0
3010402,3010413,0
3010403,3010413,0
3010403,3010414,0
3010404,3010416,0
3010404,3010417,0
3010405,3010417,0
3010405,3010419,0
3010406,3010419,0
3010406,3010421,0
3010407,3010420,0
3010407,3010421,0
3010408,3010418,0
3010408,3010420,0
3010409,3010416,0
3010409,3010418,0
3010410,3010415,0
