FromID,ToID,Weight
3010410,3010416,0
3010411,3010415,0
3010411,3010416,0

3010412,3010413,98
3010413,3010414,201
3010414,3010415,184
3010415,3010416,107
3010416,3010417,123
3010417,3010418,65
3010418,3010419,57
3010419,3010420,125
3010420,3010421,133
3010421,3010422,59

3010501,3010529,0
3010502,3010528,0
3010503,3010527,0
3010504,3010526,0
3010505,3010525,0
3010506,3010524,0
3010507,3010524,0
3010507,3010525,0
3010508,3010525,0
3010508,3010528,0
3010509,3010532,0
3010509,3010534,0
3010510,3010534,0
3010510,3010538,0
3010511,3010538,0
3010511,3010539,0
3010512,3010540,0
3010513,3010539,0
3010514,3010538,0
3010515,3010537,0
3010516,3010536,0
3010517,3010535,0
3010518,3010534,0
3010519,3010533,0
3010520,3010532,0
3010521,3010531,0
3010522,3010530,0
3010523,3010530,0
3010523,3010531,0

3010524,3010525,95
3010525,3010526,40
3010526,3010527,68
3010527,3010528,69
3010528,3010529,53
3010529,3010530,170
3010530,3010531,60
3010531,3010532,62
3010532,3010533,63
3010533,3010534,45
3010534,3010535,77
3010535,3010536,63
3010536,3010537,60
3010537,3010538,43
3010538,3010539,89
3010539,3010540,38
3010540,3010541,70

3010601,3010630,0
3010602,3010629,0
3010603,3010628,0
3010604,3010627,0
3010605,3010626,0
3010606,3010625,0
3010607,3010625,0
3010607,3010628,0
3010608,3010629,0
3010609,3010633,0
3010610,3010634,0
3010610,3010637,0
3010611,3010637,0
3010611,3010639,0
3010612,3010640,0
3010613,3010641,0
3010614,3010640,0
3010615,3010639,0
3010616,3010638,0
3010617,3010637,0
3010618,3010636,0
3010619,3010635,0
3010620,3010634,0
3010621,3010633,0
3010622,3010632,0
3010623,3010631,0
3010624,3010631,0
3010624,3010632,0

3010625,3010626,68
3010626,3010627,58
3010627,3010628,60
3010628,3010629,60
3010629,3010630,50
3010630,3010631,150
3010631,3010632,65
3010632,3010633,45
3010633,3010634,60
3010634,3010635,55
3010635,3010636,55
3010636,3010637,40
3010637,3010638,70
3010638,3010639,70
3010639,3010640,52
3010640,3010641,38
3010641,3010642,60

3010701,3010729,0
3010702,3010728,0
3010703,3010727,0
3010704,3010726,0
3010705,3010725,0
3010706,3010724,0
3010707,3010724,0
3010707,3010726,0
3010708,3010728,0
3010709,3010732,0
3010709,3010735,0
3010710,3010735,0
3010710,3010737,0
3010711,3010737,0
3010711,3010739,0
3010712,3010740,0
3010713,3010739,0
3010714,3010738,0
3010715,3010737,0
3010716,3010736,0
3010717,3010735,0
3010718,3010734,0
3010719,3010733,0
3010720,3010732,0
3010721,3010731,0
3010722,3010730,0
3010723,3010730,0
3010723,3010731,0

3010724,3010725,57
3010725,3010726,50
3010726,3010727,50
3010727,3010728,55
3010728,3010729,40
3010729,3010730,130
3010730,3010731,55
3010731,3010732,40
3010732,3010733,45
3010733,3010734,50
3010734,3010735,35
3010735,3010736,60
3010736,3010737,54
3010737,3010738,41
3010738,3010739,55
3010739,3010740,31
3010740,3010741,50

3010801,3010831,0
3010802,3010830,0
3010803,3010829,0
3010804,3010828,0
3010805,3010827,0
3010806,3010826,0
3010807,3010826,0
3010807,3010828,0
3010808,3010829,0
3010809,3010830,0
3010810,3010834,0
3010810,3010836,0
3010811,3010836,0
3010811,3010838,0
3010812,3010838,0
3010812,3010841,0
3010813,3010842,0
3010814,3010843,0
3010815,3010842,0
3010816,3010840,0
3010817,3010839,0
3010818,3010838,0
3010819,3010837,0
3010820,3010836,0
3010821,3010835,0
3010822,3010834,0
3010823,3010833,0
3010824,3010832,0
3010825,3010832,0
3010825,3010833,0

3010826,3010827,70
3010827,3010828,60
3010828,3010829,60
3010829,3010830,70
3010830,3010831,50
3010831,3010832,165
3010832,3010833,70
3010833,3010834,50
3010834,3010835,60
3010835,3010836,40
3010836,3010837,75
3010837,3010838,45
3010838,3010839,75
3010839,3010840,60
3010840,3010841,30
3010841,3010842,40
3010842,3010843,40
3010843,3010844,60
