ID,Category,Name,Floor,Building,X,Y,Description
3110101,CLASSROOM,101,1,...,164,327,...
3110102,ENTRANCE,입구,1,...,38,274,...
3110103,CLASSROOM,103,1,...,322,330,...
3110104,CLASSROOM,104,1,...,133,193,...
3110105,CLASSROOM,105,1,...,187,195,...
3110106,CLASSROOM,106,1,...,219,195,...
3110107,CLASSROOM,107,1,...,255,197,...
3110108,CLASSROOM,108,1,...,293,196,...
3110109,CLASSROOM,109,1,...,327,194,...
3110110,ENTRANCE,입구,1,...,450,403,...
3110111,ENTRANCE,입구,1,...,416,171,...
3110112,CLASSROOM,112,1,...,470,216,...
3110113,CLASSROOM,113,1,...,518,201,...
3110114,CLASSROOM,114,1,...,538,345,...
3110115,CLASSROOM,115,1,...,572,345,...
3110116,CLASSROOM,116,1,...,611,348,...
3110117,CLASSROOM,117,1,...,648,344,...
3110118,CLASSROOM,118,1,...,683,347,...
3110119,CLASSROOM,119,1,...,715,345,...
3110120,CLASSROOM,120,1,...,752,346,...
3110121,CLASSROOM,121,1,...,789,346,...
3110122,CLASSROOM,122,1,...,824,345,...
3110123,CLASSROOM,S101,1,...,942,416,...
3110124,CLASSROOM,S102,1,...,1029,416,...
3110125,CLASSROOM,S103,1,...,1154,416,...
3110126,CLASSROOM,S104,1,...,1244,417,...
3110127,ENTRANCE,입구,1,...,1277,227,...
3110128,ENTRANCE,입구,1,...,1014,108,...
3110129,CLASSROOM,S105,1,...,1228,92,...
3110130,ELEVATOR,엘리베이터,1,...,577,222,...
3110131,STAIRS,계단4,1,...,1007,225,...
3110132,HALLWAY,3110132,1,...,67,267,...
3110133,STAIRS,계단1,1,...,54,211,...
3110134,HALLWAY,3110134,1,...,55,240,...
3110135,HALLWAY,3110135,1,...,32,230,...
3110136,HALLWAY,3110136,1,...,86,268,...
3110137,HALLWAY,3110137,1,...,87,238,...
3110138,HALLWAY,3110138,1,...,67,288,...
3110143,HALLWAY,3110143,1,...,104,267,...
3110144,HALLWAY,3110144,1,...,105,247,...
3110149,HALLWAY,3110149,1,...,121,267,...
3110150,HALLWAY,3110150,1,...,120,284,...
3110151,HALLWAY,3110151,1,...,140,269,...
3110158,HALLWAY,3110158,1,...,159,268,...
3110159,HALLWAY,3110159,1,...,160,249,...
3110160,HALLWAY,3110160,1,...,176,269,...
3110161,HALLWAY,3110161,1,...,174,248,...
3110162,HALLWAY,3110162,1,...,189,268,...
3110163,HALLWAY,3110163,1,...,190,288,...
3110164,HALLWAY,3110164,1,...,209,267,...
3110165,HALLWAY,3110165,1,...,208,288,...
3110166,HALLWAY,3110166,1,...,228,269,...
3110169,HALLWAY,3110169,1,...,228,246,...
3110170,HALLWAY,3110170,1,...,245,268,...
3110171,HALLWAY,3110171,1,...,245,249,...
3110172,HALLWAY,3110172,1,...,265,269,...
3110173,HALLWAY,3110173,1,...,264,286,...
3110174,HALLWAY,3110174,1,...,302,268,...
3110175,HALLWAY,3110175,1,...,302,251,...
3110176,HALLWAY,3110176,1,...,335,267,...
3110177,HALLWAY,3110177,1,...,335,283,...
3110178,HALLWAY,3110178,1,...,335,253,...
3110179,HALLWAY,3110179,1,...,369,266,...
3110180,HALLWAY,3110180,1,...,370,287,...
3110181,HALLWAY,3110181,1,...,417,267,...
3110182,HALLWAY,3110182,1,...,436,266,...
3110183,HALLWAY,3110183,1,...,432,360,...
3110184,HALLWAY,3110184,1,...,469,266,...
3110185,HALLWAY,3110185,1,...,469,362,...
3110186,HALLWAY,3110186,1,...,531,265,...
3110201,HALLWAY,3110201,1,...,531,290,...
3110202,HALLWAY,3110202,1,...,530,303,...
3110205,HALLWAY,3110205,1,...,577,291,...
3110206,HALLWAY,3110206,1,...,589,293,...
3110207,HALLWAY,3110207,1,...,602,291,...
3110208,HALLWAY,3110208,1,...,654,292,...
3110209,HALLWAY,3110209,1,...,673,290,...
3110210,HALLWAY,3110210,1,...,728,291,...
3110211,HALLWAY,3110211,1,...,741,290,...
3110212,HALLWAY,3110212,1,...,800,292,...
3110213,HALLWAY,3110213,1,...,813,292,...
3110214,HALLWAY,3110214,1,...,816,231,...
3110215,STAIRS,계단3,1,...,842,231,...
3110216,HALLWAY,3110216,1,...,906,289,...
3110217,HALLWAY,3110217,1,...,905,305,...
3110218,HALLWAY,3110218,1,...,969,291,...
3110235,HALLWAY,3110235,1,...,968,308,...
3110236,HALLWAY,3110236,1,...,992,291,...
3110237,HALLWAY,3110237,1,...,994,306,...
3110238,HALLWAY,3110238,1,...,1055,293,...
3110239,HALLWAY,3110239,1,...,1057,308,...
3110240,HALLWAY,3110240,1,...,1046,158,...
3110241,HALLWAY,3110241,1,...,1085,291,...
3110242,HALLWAY,3110242,1,...,1119,291,...
3110243,HALLWAY,3110243,1,...,1120,307,...
3110244,HALLWAY,3110244,1,...,1185,310,...
3110245,HALLWAY,3110245,1,...,1184,292,...
3110246,HALLWAY,3110246,1,...,1206,290,...
3110247,HALLWAY,3110247,1,...,1207,308,...
3110248,HALLWAY,3110248,1,...,1273,309,...
3110249,HALLWAY,3110249,1,...,1272,292,...
3110250,HALLWAY,3110250,1,...,1232,243,...
3110251,HALLWAY,3110251,1,...,1116,176,...
3110254,ENTRANCE,입구,1,...,1088,369,...
3110255,HALLWAY,3110255,1,...,1009,261,...
3110256,STAIRS,계단2,1,...,436,216,...
3110257,STAIRS,계단5,1,...,1091,110,...
3110258,HALLWAY,3110258,1,...,1091,156,...
31101000,RESTROOM,화장실,1,311,367,248,...
31101001,RESTROOM,화장실,1,311,919,264,...
31101002,RESTROOM,화장실,1,311,974,266,...
31101003,ELEVATOR,엘리베이터2,1,311,1052,220,...


31102000,CLASSROOM,201,2,311,205,265,...
31102001,CLASSROOM,202,2,311,330,266,...
31102002,CLASSROOM,203,2,311,386,266,...
31102003,CLASSROOM,204,2,311,192,152,...
31102004,CLASSROOM,205,2,311,329,155,...
31102005,CLASSROOM,208,2,311,551,153,...
31102006,CLASSROOM,209,2,311,591,277,...
31102007,CLASSROOM,210,2,311,629,279,...
31102008,CLASSROOM,211,2,311,668,280,...
31102009,CLASSROOM,212,2,311,704,279,...
31102010,CLASSROOM,213,2,311,743,279,...
31102011,CLASSROOM,214,2,311,776,281,...
31102012,CLASSROOM,215,2,311,812,279,...
31102013,CLASSROOM,216,2,311,850,283,...
31102014,CLASSROOM,217,2,311,887,280,...
31102015,CLASSROOM,S201,2,311,1010,295,...
31102016,CLASSROOM,S202,2,311,1099,299,...
31102017,CLASSROOM,S204,2,311,1266,298,...
31102018,CLASSROOM,S203,2,311,1271,79,...
31102019,RESTROOM,화장실,2,311,988,192,...
31102020,RESTROOM,화장실,2,311,1040,192,...
31102021,STAIRS,계단1,2,311,99,175,...
31102022,STAIRS,계단2,2,311,476,192,...
31102023,STAIRS,계단3,2,311,886,218,...
31102024,STAIRS,계단4,2,311,1072,218,...
31102025,STAIRS,계단5,2,311,1163,112,...
31102026,CLASSROOM,S206,2,311,1235,190,...
31102027,CLASSROOM,S205,2,311,1284,192,...
31102028,HALLWAY,31102028,2,311,99,213,...
31102029,HALLWAY,31102029,2,311,141,213,...
31102030,HALLWAY,31102030,2,311,140,195,...
31102031,HALLWAY,31102031,2,311,212,212,...
31102032,HALLWAY,31102032,2,311,256,214,...
31102033,HALLWAY,31102033,2,311,282,213,...
31102034,HALLWAY,31102034,2,311,340,213,...
31102035,HALLWAY,31102035,2,311,340,229,...
31102036,HALLWAY,31102036,2,311,282,198,...
31102037,HALLWAY,31102037,2,311,256,201,...
31102038,HALLWAY,31102038,2,311,98,229,...
31102039,HALLWAY,31102039,2,311,253,230,...
31102040,HALLWAY,31102040,2,311,358,212,...
31102041,HALLWAY,31102041,2,311,358,230,...
31102042,HALLWAY,31102042,2,311,371,212,...
31102043,HALLWAY,31102043,2,311,372,197,...
31102044,RESTROOM,화장실,2,311,402,182,...
31102045,RESTROOM,화장실,2,311,444,183,...
31102046,ELEVATOR,엘리베이터,2,311,628,177,...
31102047,HALLWAY,31102047,2,311,403,213,...
31102048,HALLWAY,31102048,2,311,418,214,...
31102049,HALLWAY,31102049,2,311,418,230,...
31102050,HALLWAY,31102050,2,311,444,213,...
31102051,HALLWAY,31102051,2,311,477,214,...
31102052,HALLWAY,31102052,2,311,514,216,...
31102053,HALLWAY,31102053,2,311,514,194,...
31102054,HALLWAY,31102054,2,311,566,216,...
31102055,HALLWAY,31102055,2,311,566,197,...
31102056,HALLWAY,31102056,2,311,600,216,...
31102057,HALLWAY,31102057,2,311,600,201,...
31102058,HALLWAY,31102058,2,311,581,236,...
31102059,HALLWAY,31102059,2,311,603,236,...
31102060,HALLWAY,31102060,2,311,629,236,...
31102061,HALLWAY,31102061,2,311,642,235,...
