FromID,ToID,Weight
3110102,3110132,29.83
3110134,3110135,25.08
3110135,3110133,29.07
3110132,3110136,19.03
3110136,3110137,30.02
3110137,3110134,32.06
3110132,3110138,21.0
3110138,3110101,104.55
3110136,3110143,18.03
3110143,3110144,20.02
3110144,3110104,60.83
3110143,3110149,17.0
3110149,3110150,17.03
3110150,3110101,61.52
3110149,3110151,19.1
3110151,3110101,62.77
3110151,3110158,19.03
3110158,3110159,19.03
3110159,3110104,62.17
3110158,3110160,17.03
3110160,3110161,21.1
3110161,3110105,54.57
3110160,3110162,13.04
3110162,3110163,20.02
3110163,3110101,46.87
3110162,3110164,20.02
3110164,3110165,21.02
3110165,3110101,58.8
3110164,3110166,19.1
3110166,3110169,23.0
3110169,3110106,51.79
3110166,3110170,17.03
3110170,3110171,19.0
3110171,3110107,52.95
3110170,3110172,20.02
3110172,3110173,17.03
3110173,3110101,108.08
3110172,3110174,37.01
3110174,3110175,17.0
3110175,3110108,55.73
3110174,3110176,33.02
3110176,3110177,16.0
3110177,3110103,48.76
3110176,3110178,14.0
3110178,3110109,59.54
3110176,3110179,34.01
3110179,3110180,21.02
3110180,3110103,64.44
3110179,3110181,48.01
3110181,3110111,96.01
3110181,3110182,19.03
3110182,3110183,94.09
3110183,3110110,46.62
3110182,3110184,33.0
3110184,3110185,96.0
3110185,3110110,45.19
3110184,3110112,50.01
3110184,3110186,62.01
3110186,3110201,25.0
3110201,3110202,13.04
3110202,3110114,42.76
3110186,3110113,65.31
3110201,3110205,46.01
3110205,3110130,69.0
3110205,3110206,12.17
3110206,3110115,54.71
3110206,3110207,13.15
3110207,3110116,57.71
3110207,3110208,52.01
3110208,3110117,52.35
3110208,3110209,19.1
3110209,3110118,57.87
3110209,3110210,55.01
3110210,3110119,55.54
3110210,3110211,13.04
3110211,3110120,57.07
3110211,3110212,59.03
3110212,3110121,55.11
3110212,3110213,13.0
3110213,3110122,54.13
3110214,3110215,26.0
3110214,3110213,61.07
3110213,3110216,93.05
3110216,3110217,16.03
3110217,3110123,117.0
3110216,3110218,63.03
3110218,3110235,17.03
3110235,3110123,111.09
3110218,3110236,23.0
3110236,3110237,15.13
3110237,3110124,115.43
3110236,3110238,63.03
3110238,3110239,15.13
3110239,3110124,111.57
3110238,3110241,30.07
3110241,3110242,34.0
3110242,3110243,16.03
3110243,3110125,114.18
3110125,3110244,110.44
3110244,3110245,18.03
3110245,3110242,65.01
3110245,3110246,22.09
3110246,3110247,18.03
3110247,3110126,115.11
3110126,3110248,111.83
3110248,3110249,17.03
3110249,3110246,66.03
3110246,3110250,53.71
3110250,3110127,47.76
3110129,3110251,140.0
3110251,3110240,72.28
3110240,3110128,59.36
3110251,3110250,133.96
3110254,3110241,78.06
3110236,3110255,34.48
3110255,3110131,36.06
3110256,3110182,50.0
3110257,3110258,46.0
3110258,3110240,45.04
3110258,3110251,32.02
31101000,3110179,18.11
31101001,3110216,28.18
31101002,3110218,25.5
3110238,31101003,73.06
31101003,3110240,62.29

31102021,31102028,38.0
31102028,31102029,42.0
31102029,31102030,18.03
31102030,31102003,67.48
31102029,31102031,71.01
31102031,31102032,44.05
31102032,31102033,26.02
31102033,31102034,58.0
31102034,31102035,16.0
31102035,31102001,38.33
31102033,31102036,15.0
31102036,31102004,63.7
31102032,31102037,13.0
31102037,31102003,80.6
31102028,31102038,16.03
31102038,31102000,112.89
31102000,31102031,53.46
31102000,31102039,59.41
31102039,31102032,16.28
31102034,31102040,18.03
31102040,31102041,18.0
31102041,31102002,45.61
31102040,31102042,13.0
31102042,31102043,15.03
31102043,31102004,60.11
31102042,31102047,32.02
31102047,31102044,31.02
31102047,31102048,15.03
31102048,31102049,16.0
31102049,31102002,48.17
31102048,31102050,26.02
31102050,31102045,30.0
31102050,31102051,33.02
31102051,31102022,22.02
31102051,31102052,37.05
31102052,31102053,22.0
31102053,31102005,55.23
31102052,31102054,52.0
31102054,31102055,19.0
31102055,31102005,46.49
31102054,31102056,34.0
31102056,31102057,15.0
31102057,31102005,68.59
31102058,31102006,42.2
31102058,31102059,22.0
31102059,31102056,20.22
31102059,31102060,26.0
31102060,31102046,59.01
31102060,31102061,13.04
31102061,31102007,45.88
31102061,31102062,15.0
31102062,31102008,46.32
31102062,31102063,59.08
31102063,31102009,42.72
31102063,31102064,15.03
31102064,31102010,43.68
31102064,31102065,58.0
31102065,31102011,45.88
31102065,31102066,17.0
31102066,31102012,42.43
31102066,31102067,57.01
31102067,31102013,48.76
31102067,31102068,15.0
31102068,31102014,44.91
31102068,31102069,10.05
31102069,31102023,19.1
31102069,31102070,87.02
31102070,31102071,13.0
31102071,31102015,55.44
31102070,31102072,13.04
31102072,31102019,46.0
31102072,31102073,50.04
31102073,31102074,11.18
31102074,31102015,53.25
31102073,31102020,48.04
31102073,31102075,25.02
31102075,31102076,15.03
31102076,31102016,57.01
31102075,31102077,10.0
31102077,31102024,21.02
