FromID,ToID,Weight
31001015,31001027,120.0
31001027,31001028,23.02
31001029,31001014,117.21
31001029,31001028,30.27
31001028,31001030,46.01
31001030,31001031,14.14
31001031,31001022,17.2
31001030,31001032,40.01
31001032,31001033,12.04
31001033,31001023,17.2
31001030,31001013,39.92
31001032,31001034,20.0
31001034,31001035,33.06
31001035,31001018,12.0
31001035,31001036,48.01
31001036,31001037,12.04
31001037,31001000,65.31
31001036,31001038,140.0
31001038,31001039,12.04
31001039,31001000,77.1
31001038,31001040,20.02
31001040,31001041,12.04
31001041,31001001,44.94
31001040,31001042,94.01
31001042,31001043,11.18
31001043,31001001,55.36
31001042,31001044,25.0
31001044,31001045,13.04
31001045,31001002,62.59
31001044,31001046,80.0
31001046,31001047,42.0
31001047,31001048,14.14
31001048,31001002,65.31
31001047,31001049,31.0
31001049,31001005,27.0
31001049,31001050,36.01
31001050,31001004,26.0
31001050,31001051,40.0
31001051,31001003,24.08
31001051,31001052,27.02
31001052,31001053,18.11
31001053,31001025,15.81
31001052,31001054,57.0
31001054,31001026,27.17
31001046,31001055,33.0
31001055,31001056,75.0
31001056,31001057,41.0
31001056,31001058,24.08
31001058,31001010,48.33
31001057,31001020,29.12
31001057,31001059,23.02
31001059,31001060,74.0
31001060,31001006,10.05
31001057,31001061,13.04
31001057,31001007,70.11
31001061,31001008,73.17
31001061,31001062,37.0
31001062,31001063,21.0
31001063,31001011,38.01
31001062,31001064,22.02
31001064,31001065,14.04
31001065,31001009,16.12
31001063,31001066,84.01
31001066,31001067,73.01
31001066,31001012,17.03
31001067,31001024,30.41
31001067,31001068,24.02
31001068,31001069,13.04
31001069,31001017,65.8
31001068,31001070,136.01
31001070,31001071,11.18
31001071,31001017,72.53
31001070,31001072,29.0
31001072,31001021,23.0
31001072,31001073,28.0
31001073,31001074,14.0
31001074,31001019,17.03
31001074,31001016,100.28
31001014,31001075,137.06
31001076,31001034,10.0
31001077,31001073,41.0
31001078,31001055,20.52
31001079,31001055,19.21

31001015,31001027,120.0
31001027,31001028,23.02
31001029,31001014,117.21
31001029,31001028,30.27
31001028,31001030,46.01
31001030,31001031,14.14
31001031,31001022,17.2
31001030,31001032,40.01
31001032,31001033,12.04
31001033,31001023,17.2
31001030,31001013,39.92
31001032,31001034,20.0
31001034,31001035,33.06
31001035,31001018,12.0
31001035,31001036,48.01
31001036,31001037,12.04
31001037,31001000,65.31
31001036,31001038,140.0
31001038,31001039,12.04
31001039,31001000,77.1
31001038,31001040,20.02
31001040,31001041,12.04
31001041,31001001,44.94
31001040,31001042,94.01
31001042,31001043,11.18
31001043,31001001,55.36
31001042,31001044,25.0
31001044,31001045,13.04
31001045,31001002,62.59
