ID,Category,Name,Floor,Building,X,Y,Description
31001000,CLASSROOM,101,1,310,504,234,...
31001001,CLASSROOM,102,1,310,642,236,...
31001002,CLASSROOM,103,1,310,778,236,...
31001003,CLASSROOM,104,1,310,949,234,...
31001004,CLASSROOM,104-1,1,310,907,236,...
31001005,CLASSROOM,104-2,1,310,871,236,...
31001006,CLASSROOM,108,1,310,986,189,...
31001007,CLASSROOM,109,1,310,984,172,...
31001008,CLASSROOM,110,1,310,988,158,...
31001009,CLASSROOM,111,1,310,952,141,...
31001010,CLASSROOM,112,1,310,831,132,...
31001011,CLASSROOM,113,1,310,953,106,...
31001012,CLASSROOM,114,1,310,832,89,...
31001013,CLASSROOM,131,1,310,314,211,...
31001014,CLASSROOM,132-1,1,310,170,198,...
31001015,CLASSROOM,132,1,310,162,153,...
31001016,CLASSROOM,151,1,310,442,74,...
31001017,CLASSROOM,152,1,310,670,74,...
31001075,STAIRS,계단0,1,310,33,194,...
31001018,STAIRS,계단1,1,310,391,220,...
31001019,STAIRS,계단2,1,310,540,73,...
31001020,STAIRS,계단3,1,310,942,184,...
31001021,ELEVATOR,엘리베이터,1,310,569,81,...
31001022,RESTROOM,화장실,1,310,313,150,...
31001023,RESTROOM,화장실,1,310,354,153,...
31001024,RESTROOM,화장실,1,310,763,75,...
31001025,RESTROOM,화장실,1,310,985,236,...
31001026,RESTROOM,화장실,1,310,1028,236,...
31001076,ENTRANCE,입구,1,310,389,165,...
31001077,ENTRANCE,입구,1,310,500,104,...
31001078,ENTRANCE,입구,1,310,783,162,...
31001079,ENTRANCE,입구,1,310,783,188,...
31001027,HALLWAY,31001027,1,310,282,152,...
31001028,HALLWAY,31001028,1,310,283,175,...
31001029,HALLWAY,31001029,1,310,287,205,...
31001030,HALLWAY,31001030,1,310,329,174,...
31001031,HALLWAY,31001031,1,310,327,160,...
31001032,HALLWAY,31001032,1,310,369,175,...
31001033,HALLWAY,31001033,1,310,368,163,...
31001034,HALLWAY,31001034,1,310,389,175,...
31001035,HALLWAY,31001035,1,310,391,208,...
